,rating,review
0,30,The property is very good no doubt but the food is not upto the mark. The housekeeping service was also not good the bed covers had lint I had to her it changed! Rest place is clean and child friendly for sure. 
1,40,Love everything especially the pool. Must visit. We had a nice time here last week. Food and service is great. Serene surrounding and tranquility to explore. Walking around this place itself is amazing
2,50,Nice place to visit for a family dining. Staff are pleasant and food is awesome. You can have a relaxed dinner here. Meet Paramesh at the restaurant to seek some good recommendation on food and service.Restaurant is Opp to swimming pool which makes it even better.
3,50,As an event manager its a nice place to organize corporate events. Staff is very supportive and take care of each and every minute details when it come to coordination with event team.  Place is very nice and interior is very good. Huge swimming pool and lawn space
4,50,We had an amazing weekend stay experience with exceptional and seem-less services offered by Mr. Anupam  & his resort team.Thank you for personally taking care of my group and we are sure to recommend your hotel to our friends & family. Thank you Anupam for great hospitality. We are sure to come back soon and send other friends too..
5,40,"We went to Golden Palms for a team offsite with about 35 people. The overall experience was decent, and they handle a team offsite fairly well. I would not recommend ot for families, since a number of offsites keep happening all the time, and you would be hard pressed to find peace and quiet. The rooms are large and well furnished. Bathrooms are functional and clean. The main selling point are the amenities, very large swimming pools, cricket grounds, baddy courts, indoor games etc. They have equipment for water sports like water polo as well. They have enough space for 4-5 large teams to do offsites. The food is decent, and the bar is well stocked. You cannot bring your own liquor in and they are very strict about this. Overall 7/10 for a company offsite."
6,10,"We have been regular guests of Golden Palms and also have hosted a few corporate events here before. However we were disappointed to see the quality of service going down over a period of time.   We as a family of four visited the property on the 13th November for dinner. Considering the current pandemic, we called them and checked in advance if they were open and if the restaurant was in service. Once confirmed by them, we reached the property at around 8:00 pm and was greeted in the most unsafe manner by the gate-keeper who initially refused to open the gate and then literally popped into our car windows without wearing a mask. We had to request him to first wear a mask and take all safety precautions before getting in close proximity of the  guests.  The actual nightmare…"
7,40,"We recently visited the resort to celebrate our special occasion amidst the pandemic...  It was our first time here !! Huge resort!! Very peaceful - away from all the hustle & bustle of the city... Located in the outskirts of Bengaluru, off-Tumkur Road....  Rooms are large however needs renovation since its a very old resort... Fixtures and fittings, especially in the bathroom need replacements or should be upgraded...  The hairdryer in the room did not work and the door wouldn't close as the door lock had a problem... Dijandas from Housekeeping was very prompt and helpful he helped us shift the room from #198 to #196...  Cafe Solaire was the only restaurant that was operational due to the current situation but we were very disappointed to see the buffet spread choice of food…"
8,40,"I had no issues with anything here. The stay, staff, food, amenities, and everything else was top notch. Love to visit again next year when I am in town. Highly recommend it. Go for it if you are looking for a great stay in Bengaluru."
9,50,We went to this hotel last year. The stay was really awesome. Rooms were really nice and comfortable. We booked two rooms for two families. The pool was also very good and clean. Cleanliness was maintained.
10,40,"It’s a old property with lots of greenery. Located outskirts of Bangalore city and off-Tumkur Road. Only way to reach is by car or cab but it’s a spread out property in a peaceful location, away from all the hustle and bustle of the city.  Rooms are large but needs renovations. Fixtures and fittings, especially the bathrooms need replacements. It’s a resort atmosphere with spa, massage and other amenities and a good place to relax for couple of days. Morning Breakfast is served in the restaurant near the pool but the choice of items in the spread could be better."
11,10,"The outrageously poor service started the moment, our family stepped into the hotel. The rude check-in staff told us that there are no rooms for us, though we booked and paid more than 2 weeks in advance!! After losing an hour at check-in, we were finally allotted rooms by the staff who acted as though they did us a massive favour!!  But the bad experience did not end there!  We went to the bar/restaurant for dinner but were told that it was reserved for a corporate. Ditto for an in-house bar.   If most of the facilities were reserved or booked in advance, then why should we go to the resort?!! They should have cancelled our booking so we did not have to waste so much money in a third-rate resort with poor facilities and rude staff! The crumbling infrastructure is so old and has…"
12,50,"This is an exotic place. Swimming pool, gymnasium is available. Rooms are quite spacious. Conference room is excellent. Vichel is available. Table tennis and badminton playing facilities are available."
13,10,"We had a team outing for about 200 people from our company. It was a huge disappointment and a very bad experience that left us with a very bad taste and we collectively decided never to set foot on that facility again. The place had atleast 9 other groups and was extremely crowded. The wait time to use the sports facility was long, rest rooms very dirty without soap and a garbage bin. Used tissues were thrown around and a plant holder was used as a temp dust bit. But the major thing was how rude and unfriendly the staff were! I spoke to Ms. Sangeetha who had elped with our booking and she was outright rude and started shouting on the phone defending herself claiming it was not her problem. She even went to the extent of saying she did not care what our exprinece was as it was…"
14,40,"yesterday we had a meeting in renaissance race course hotel bengaluru, the ambience what i saw it was really unblievable , food was very delicious, staff was very coperative, and special thanks to rakesh choudhary , sahil ,and arnesh for his excellent service"
15,50,The resort was awesome.  The most attractive place of the resort is the poolside. The staffs are quite Co operative & managed the event quite in a nice way.  The food both breakfast & lunch was good. Thanks 
16,10,"They don't allow you to carry your own liquor in to your room .we had to keep all our items in our car as we couldn't change the program in last minute and ended up paying high price for liquor purchase from them , I have been to many 5 star hotels in India and abroad no hotel had stopped till date for consuming own liquor inside your room ."
17,50,"I had been year last week with my family and had an amazing experience from the time i entered till check out - well equipped rooms with huge swimming pool , awesome food and good gesture of employees was amazing , have to visit this place again. i have to mention Mr.Mandanna who was assisting us in all the Luke corners of our stay and made our stay remember. The sports room with kids play area was interesting part."
18,50,It was a good family outing... The stay at the resort was pleasant & the food was great. Kids enjoyed the pool which is well maintained & huge. Special thanks to Mandanna (FOM)  for making our stay a special one.
19,30,"We stayed here for a day and night with friends. The positives: Excellent location; great ambience and food; friendly staff Not so positives: limited selection of inclusive drinks; poor quality linen- soiled and torn sheets/ bed spreads; average quality rooms; cold, non-heated pools"
20,30,"This is one of the older resorts in Bangalore and I guess my expectations were rather high. Came back a bit disappointed.  Property is small compared to some of the other resorts in Bangalore. The room was okay - large with a veranda. Decent amenities in the bathroom. However, no hand towels or floor mats! And I had to call twice to get the items! Wifi in the rooms was terrible.  The resort is rundown - needs an uplift asap. The conference area is frankly old and the gym, while large, is antiquated! The central park is nice - green and well-kept with a large pool. There is a play area for children and adults with TT, carom, chess etc. While there are plenty of staff I found the service rather slow. No one picks up the phone at the front desk!  Food quality was okay. Also, the…"
21,20,"Our classmates had decided we would have a day of reminiscing our good old days from college and two-generation catch up at the Golden Palms Resort and Hotel  Cons first 1)	The whole group had come together, weren’t informed prior that we had to show some form of ID to get in. Some of our locally staying friends had left their luggage at home and had to get family members to send it via messages/watsapp to show to the front desk. This should have been informed during booking. Our group was great in taking it in our stride in the spirit of getting together.  2)	We had all our bags go through security scanners, even the nuns.  3)	We all friends had decided to get our own alcohol which we were told we couldn’t get into the hotel at check-in. Understand from a business perspective…"
22,10,I checked into the room and started hearing some loud sound of some party.it was an event in the resort center infront of hotel room. After speaking to reception its of no use. They just let in all the business people to organise there the event all along the space and pool. You dont see any privacy or feel like resort kind of environment. Felt like i am in some mall or event. Entire day of mine is wasted. Not much facilities to use in resort except swimming pool.i suggest ppl to avoid this if u want a resort kind of relaxation and day out. Waste of money.i had wasted my amount in paying for membership. Even you have to pay for towels when u use swimming pool.i came twice and both the time some events and disturbance. Families and friends better avoid this place and its for…
23,40,"Visited Golden Palms after a long time. This was a day outing organised by our community group. Since the change in Management things have got better. Nice ambiance, nice food, courteous staff. Besides the time taken to reach & get back this place still has its charm."
24,50,Visited this place for office offsite. Good experience. Buffet spread was quite decent. And with the garden area was hugely spread. Key attaction is the lush green which is easily available in sites in bangalore. This falls in my list to revisit soon though for the calmness and modern architects of the resort
25,40,"Very helpful staff, clean and comfortable rooms, nice resturant with a good choice of dishes, a lot of vegetarian options which were better than the meat options in some cases. The grounds are well tended and the pool looked clean, no hot water in the shower, or it may just have been slow, so I used the provided kettle to warm some water, all in all a very nice place. "
26,50,"had a short stay in this resort last weekend with my family. Located at the outskirts of Bangalore this resort provides everything a boarder can ask for...As the name suggest, the resort is located amidst grove of palm trees and one take a stroll to see the wonderful flora and blossoms of vibrant hue. The rooms are spacious and immaculate. I was awestruck to see the azure pool. Had a whale of a  time in the pool, playing aqua games like water volley. Cafe 'Solaire' is where we had our food located by the pool. A perfect gastronomic delight for a foodie! Staffs were amicable and service was also commendable. In a nutshell if you are looking for a tranquil place away from the hustle bustle, 'Golden palms' is the perfect place to veg out"
27,50,It's worth spending money. The rooms will give a feel of royalty. Great staff service.. Best amunities.. Food was awesome as well.i will recommend everyone to visit the same.. Its not far from bangalore
28,10,"Visited on 11/12 May 2019 along with friends,hoping for a fun filled experience.exactly opp happened. Housekeeping staff couldn't care less. Food was bad & with very limited options. An avid Traveller & have stayed in best of the best resorts but never have had such service & felt cheated to the core. Won't stay here even if given a free stay. They take their clients for granted. Poor service , bad food & no care attitude."
