,rating,review
0,50,"We had visited ITC Windsor, Bangalore in end Jan 2021, deciding to have a break from our home, after a long Covid imprisonment. We contacted them before arrival and Mr Mahesh attended the call. Knowing that we are from Defence Services, he was overjoyed, and gave us a beautiful upgrade to a room with a terrace garden. He personally escorted us and showed the room and access to Terrace Garden. The Service of the hotel is par excellence. Satish Tripura was extremely helpful, served with a smile and even decorated our bed, a day before check out. And we ate and ate, since the food was so awesome. In Raj Pavilion, one of the dining areas, Mr Shiva hosted us with great attention. He kept suggesting different Menus during our 5 days stay. Chefs were wonderful and created excellent dishes for us. In fact, one evening Chef Ruby Islam asked us what we’d like for desert and offered to create a special pastry dish for each one of us, as it was indeed  a finger licking experience. Hats Off to each everyone at Windsor, for taking such good care. Seeing this awesome care by ITC Hotels, we booked ourselves for another ITC at Port Blair, Andaman Island in March. Thanks to all.…"
1,50,"My recent stay at ITC Windsor was absolutely amazing ! Right from the very beginning Satvik arranged everything to perfection . The room alloted was lovely , the housekeeping attendant servicing our room did a fantastic job , the team at the coffeeshop was incredible.    I owe a big thank you to each and everyone at the hotel . A special mention to Anuj who was very accommodating .  Dushyant the happiest FnB Manager I've ever come across , again extremely warm . Satvik for all his assistance and help . Chef Yash for the incredible buffet spread.    I can't wait to plan my next trip to Bangalore.  "
2,30,"Staycation is the much talked about vacation in these times. We have been exploring Bangalore hotels for the same purpose and visited ITC Windsor Manor in Jan last week of 2021. While the booking was easy, they don't have pre-check-in (they claim they have). We called twice to ask about it and ready to give details, for which they asked to send an email, which was never acknowledged. Every hotel lets you do that online (app, website or by email). Anyways, Check-in at hotel was smooth, and we were told that we are upgraded to Tower rooms. We entered the room, with excitement, and was so disappointed to see the room quality, furnishings etc. Its basically old rooms, which they have kept clean. Some rooms were getting renovated to look little modern (in terms of furnishings/lightings etc). They are short of staff, so every request took 2-3 calls to get it served (pencil/note-pad, drinking water and more).  Breakfast was good with lot of options and good taste. Hotel was crowded so they had to accommodate us at Dakshin restaurant for breakfast. We didn't try dinner as we decided to explore nearby restaurant.  They have a nice garden on 3rd floor, of tower building, which has lot of green and sitting place. However, it is in middle of rooms all around. Also, sanitization at common places was well taken care of ! Overall, it is a old place, with that charm of history and greenery around, but rooms are average. Service is decent and food is good.…"
3,50,Our whole family enjoy ur luxury rooms and wonderful tasty foods..thanks for ur hospitality and service..we enjoyed lots in stay ur hotel...keep rocking.especially dakshin restaurants we enjoyed the mouth watering south Indian foods.we spend more time at rajpavillion coffee shop..great memories...
4,50,Great Job with the conference in all the arrangements ! Satya and Jayaram were very helpful all through the event. The set up was very well done and whole event professionally managed! Thank you all for arranging a great event!
5,50,"Great service by Abhishek at the reception and equally good service by Ashok and Ravindra Kumar at Dublin bar. They have been absolutely amazing, very polite and very efficient service. I had requested for a TV channel that showed premier league which they didn’t have but within 1 hour they changed the set of box and get the channel. I have had a great time in this place and I know others will have a better time. I would recommend this place hands down. Come here for great service and amazing hospitality!!"
6,50,"This is a specific review in Covid times regarding the gym management at Windsor, knowing otherwise that ofcourse the overall stay is very comfortable   The gym rules are clearly followed with strict protocols on entry, usage and time.  The equipmentnis sanitized after every use.   They are eco friendly with no plastic and have sanitizers, etc available for guests.   Satish, Srinivas, Thousip, the Spa manager and others are very courteous, helpful and alert in ensuring safety, hygiene and meeting needs of customers.  I confidently recomend it   They are doing their best and more. I wish that guests are also responsible and support them in this endeavor  "
7,50,"I organized a farewell dinner for my office colleagues; we were 20 people. Dushyant the Fn B executive was innovative enough to offer me a dinner by the poolside, an idea that I immediately loved. From.the fantastic royal table set up, the sit down dining experience to the delectable menu ....  it was a fabulous experience from.the word go. Our guests said it was a very memorable experience. Highly recommended!   Sandra Daniels Vice President, Marketing "
8,50,"We stayed at ITC Windsor the last 2 days to attend a residential wedding. The decor, service, food, facilities were fantastic. I loved the culture of the chef coming out into to restaurant and connect with the guests. We had Chef Ruby give us a warm welcome the day we arrived & strike an interesting conversation with us. Chef Venugopal made us feel like family and volunteered to fill our flask with hot filter coffee for our drive back to Chennai. The bell desk folks helped us with filling our water bottles for the journey ahead. Overall it was a home away from home experience for us."
9,50,Its a great place to stay with good rooms and excellent food and to top great hospitality. The breakfast esp. is very nice with a good spread. The other heartening to see is that the hotel has taken enough precautions for Covid.
