,rating,review
0,50,Extremely comfortable stay post pandemic. Personalised care for every guest. All sanitisation care & COVID protocol followed at the minutest detail. Lavish buffet layout prepared by very well trained and experiienced chef.
1,50,"We were at the hotel for a night stay over the weekend and thoroughly loved the stay food, and hospitality.   All the staff is really great and courteous, special mention to Sapna,Ishvi from front desk and Rajesh from feast.  Definitely one of the best experience in Bangalore, looking forward to visit again."
2,50,"Excellent hospitality and facilities! Highly courteous and dedicated staff, who attended to all our needs promptly.   The rooms were well maintained and the laundry services were spot on!  Definitely,  one of the nicest places to stay at Bangalore!"
3,40,The rooms are really good and equipped with all those one can expect in a 5 star hotel. But due to Covid some things are missing but team has done their best to provide faciltites which are in their reach. Slightly disappointed with food and hopes team will do their best to improve it. Rest other things are good and matches the reputation the hotel enjoys.
4,50,"Stayed at the Sheraton property at Whitefield in Bangalore from the 3rd to the 5th of feb and I must say that I thoroughly enjoyed my stay ! My experience was amazing because of these passionate hoteliers. Ajay and Ishvi from the front office team made me feel at home with their warm hospitality! And I could see that the guests comfort is their top priority! Jayanta from the coffee shop pampered me with a healthy breakfast every morning that got me going through the day !  The Sheraton experience for me was excellent and it all that’s to the relentless efforts of such passionate hoteliers  Ajay , Ishvi and Jayanta thank you for warm hospitality and kudos to your efforts !"
5,50,"Rooms were really good and the staffs were really good and polite, helpful, especially Ms. Sangeeeta, She  makes our day memorable  for the purpose we came to The Sheraton to celebrate my B'Day, by Decorating the room and  providing us a complimentary Cake ''YUMMM"" We go for Staycation, which was a really amazing offer we get especially on weekends, All pick and drop facility  was perfect and on time,   Bar guy also entertains us professionally, but 22ji to ghar de bande nikle  CHANDIGARH (Punjabi)...  Love to come again to feel the luxury of 5 ***** hospitality, Already recommend  2-3 newly married friend for the staycation.  Book the room Njoy the Ambience of different cuisines"
6,50,Rooms were really good and staffs were nice too. Rooms were cleaned everyday. Food was nice as well. All the queries and requirements were full filled by the staffs. Thanks for making my stay safe.....
7,50,Stayed for 7 days and the staff delivers Good experience with good ambience and good stay with great food. Looking for stay again and will love to enjoy the great stay again.  Thank you To all sheraton family
8,50,"Staff was really good and polite, helpful.location is excellent and very neat and clean rooms with excellent views. also the entire compound is well maintained..Expectation full filled..Excellent hospitality .."
9,50,I had a great experience. The room was luxurious and the room service was also good. The gym had all the equipments required and functioning. All the staff followed the covid guidelines and cleanliness was maintained.
